0.28 - 00015057 - ENTRY - 6832 ../TestDir/er/code/tux_backwards/code/img_files/
0.33 - 00015057 - CREATE - Command: ../TestDir/er/code/tux_backwards/code/img_files-l  -a --block-size=1024 -S --max_depth=2147483641
1.89 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/timer.o
2.00 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/proj.c
2.06 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/countdown.c
2.12 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/keyboard.o
2.17 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/i8042.h
2.23 - 00015056 - ENTRY - 12 ../TestDir/er/code/tux_backwards/code/mouse.c
2.28 - 00015056 - ENTRY - 4 ../TestDir/er/code/tux_backwards/code/proj.o
2.34 - 00015056 - ENTRY - 8 ../TestDir/er/code/tux_backwards/code/mouse.o
2.45 - 00015056 - ENTRY - 15108 ../TestDir/er/code/tux_backwards/code/
2.51 - 00015056 - CREATE - Command: ../TestDir/er/code/tux_backwards/code-l  -a --block-size=1024 -S --max_depth=2147483642
-1.11 - 00015055 - ENTRY - 20 ../TestDir/er/code/tux_backwards/tux-walk-3b.xpm
-1.02 - 00015055 - ENTRY - 20 ../TestDir/er/code/tux_backwards/tux_jumpb.xpm
-0.96 - 00015055 - ENTRY - 104 ../TestDir/er/code/tux_backwards/
-0.92 - 00015055 - CREATE - Command: ../TestDir/er/code/tux_backwards-l  -a --block-size=1024 -S --max_depth=2147483643
0.65 - 00015054 - ENTRY - 4 ../TestDir/er/code/keyboard.o
0.79 - 00015054 - ENTRY - 4 ../TestDir/er/code/i8042.h
0.85 - 00015054 - ENTRY - 12 ../TestDir/er/code/mouse.c
0.89 - 00015054 - ENTRY - 4 ../TestDir/er/code/proj.o
0.95 - 00015054 - ENTRY - 8 ../TestDir/er/code/mouse.o
1.05 - 00015054 - ENTRY - 11100 ../TestDir/er/code/
1.08 - 00015054 - CREATE - Command: ../TestDir/er/code-l  -a --block-size=1024 -S --max_depth=2147483644
1.13 - 00015053 - ENTRY - 12 ../TestDir/er/cloud.png
1.25 - 00015053 - ENTRY - 12 ../TestDir/er/coin-4.png
1.31 - 00015053 - ENTRY - 4 ../TestDir/er/coin-0.xpm
1.36 - 00015053 - ENTRY - 4 ../TestDir/er/burning-9.png
1.42 - 00015053 - ENTRY - 1192 ../TestDir/er/arcticskies1.png
1.49 - 00015053 - ENTRY - 12 ../TestDir/er/coin-7.png
1.53 - 00015053 - ENTRY - 4 ../TestDir/er/coin-2.xpm
1.57 - 00015053 - ENTRY - 4 ../TestDir/er/ambient_light.png
1.62 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-5.png
1.66 - 00015053 - ENTRY - 68 ../TestDir/er/bridgecloud-light.png
1.72 - 00015053 - ENTRY - 8 ../TestDir/er/backflip.png
1.77 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-1.png
1.82 - 00015053 - ENTRY - 52 ../TestDir/er/billboard-resetpoint.png
1.86 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-6.png
1.92 - 00015053 - ENTRY - 28 ../TestDir/er/billboard-trampoline.png
1.97 - 00015053 - ENTRY - 232 ../TestDir/er/bluemountain-middle.png
